run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,governor,dmc_governor,arm_freq,core_freq_min,gpu_governor,Device,policy0_freq,policy4_freq_max,over_voltage_min,over_voltage,gpu_freq_max,cpu_freq_min,cpu_freq,policy6_freq_min,dmc_freq_min,dmc_freq,policy4_freq,v3d_freq,gpu_freq,policy6_freq,policy4_freq_min,gpu_freq_min,cpu_governor,emc_max_freq,Config_ID,TestName,cpu_freq_max,dmc_freq_max,cores_online,policy0_freq_max,core_freq,arm_freq_min,policy0_freq_min,v3d_freq_min,Governor,policy6_freq_max,Config_Name,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,225410.543588,14636.809318,14738.063876,3.1600000000000006,3.64635761589404
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,224732.673589,14637.233612,14739.937599,3.1666666666666665,3.6636942675159236
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,224681.89231,14637.071394,14741.291717,3.2266666666666666,3.6464968152866244
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,224626.347848,14636.972449,14739.411445,3.2,3.668152866242038
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,224755.207274,14636.990067,14739.771071,3.18,3.7099337748344374
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq500\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,224684.294921,14636.766523,14738.907099,3.22,3.717931034482759
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq550\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,230802.985807,14016.11023,14119.298166,3.253333333333333,3.6900662251655634
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq550\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,215954.787797,14016.502972,14118.761132,3.22,3.7448275862068967
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq550\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,216023.355056,14016.190969,14126.111134,3.306666666666666,3.773103448275862
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq550\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,215965.783704,14016.29921,14119.166156,3.3666666666666667,3.7717241379310344
