run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy6_freq,core_freq_min,Config_ID,Config_Name,policy0_freq_max,Governor,gpu_freq,v3d_freq_min,policy6_freq_min,policy0_freq_min,over_voltage,cpu_freq_max,cpu_freq,Device,over_voltage_min,dmc_freq_min,policy4_freq_min,policy0_freq,dmc_freq,gpu_governor,TestName,dmc_freq_max,gpu_freq_max,policy4_freq_max,cpu_governor,arm_freq_min,policy4_freq,policy6_freq_max,cores_online,v3d_freq,governor,arm_freq,emc_max_freq,dmc_governor,gpu_freq_min,cpu_freq_min,core_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,67556.55699,87.157081,110.63654,1.76,4.995238095238095
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,66797.407574,85.553379,109.693798,1.7466666666666666,4.980952380952381
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69712.841366,83.045763,106.7865,1.7666666666666666,5.004761904761905
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69480.558033,81.380277,104.120575,1.7333333333333334,5.0095238095238095
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75942.841369,127.255989,154.62523,1.7466666666666666,4.30625
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75866.134494,124.483238,152.048372,1.7333333333333334,4.3
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,77041.363621,123.345088,150.806302,1.7266666666666666,4.25
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75895.747411,123.827777,150.972392,1.74,4.290625
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,68521.039741,86.430646,110.209289,1.76,5.161904761904762
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69912.34195,89.934443,113.802937,1.74,5.133333333333333
