run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,over_voltage,cpu_freq_min,gpu_freq_min,arm_freq,dmc_freq_max,gpu_governor,TestName,emc_max_freq,gpu_freq_max,policy6_freq_min,policy6_freq_max,policy0_freq_max,Device,policy4_freq_min,v3d_freq,Config_ID,dmc_freq_min,Governor,cpu_governor,governor,over_voltage_min,cores_online,cpu_freq_max,core_freq_min,core_freq,v3d_freq_min,policy6_freq,gpu_freq,cpu_freq,arm_freq_min,policy0_freq,Config_Name,dmc_governor,policy4_freq_max,policy4_freq,dmc_freq,policy0_freq_min,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.816046,38359.258477,,,4.015,5.248648648648649
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.967835,35043.27159,,,4.0633333333333335,5.354838709677419
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.053303,35377.589534,,,4.041666666666667,5.241935483870968
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.852713,34592.222554,,,4.046666666666666,5.280645161290322
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.916944,34845.193238,,,4.058333333333334,5.283870967741935
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.868748,34656.624942,,,4.041666666666667,5.27741935483871
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.844626,38470.371458,,,4.071666666666666,5.283783783783784
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.848769,34578.620553,,,4.056666666666667,5.283870967741935
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1600\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1600,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.008048,35201.601924,,,4.121666666666666,5.280645161290322
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.701024,37910.81757,,,4.051666666666667,5.335135135135135
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.766331,34256.223331,,,4.091666666666667,5.329032258064516
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.761907,34238.716535,,,4.043333333333333,5.335483870967742
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.701304,34003.496462,,,4.08,5.338709677419355
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.607327,33633.788517,,,4.1033333333333335,5.364516129032259
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.658204,33834.915406,,,4.086666666666667,5.335483870967742
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754118,34208.594535,,,4.114999999999999,5.335483870967742
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.945292,34955.171386,,,4.085,5.341935483870968
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1700\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1700,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.650466,33803.309795,,,4.1066666666666665,5.351612903225806
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.470274,33101.036776,,,4.015,5.393548387096775
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.374748,36633.408126,,,4.026666666666666,5.31891891891892
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.643328,33775.144758,,,4.069999999999999,5.364516129032259
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run4,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.648561,33795.782702,,,4.046666666666666,5.370967741935484
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run5,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.509309,33252.039183,,,4.069999999999999,5.367741935483871
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run6,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.566026,33473.044258,,,4.04,5.364516129032259
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run7,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.804056,34402.425498,,,4.035,5.335483870967742
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run8,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.686725,37854.453348,,,4.043333333333333,5.305405405405405
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1800\run9,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1800,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.156347,35781.209312,,,4.076666666666666,5.354838709677419
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run1,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.096962,31641.554499,,,4.041666666666667,5.451612903225806
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run2,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.542128,37288.601237,,,4.073333333333333,5.383783783783784
bench_logs\upols_stream_tests\2026-05-15\ffrw_upols_vs_arm_freq_performance_16_banks\arm_freq1900\run3,,RaspberryPiComputeModule5,,,,,fftw-upols,,16,16,0,0,0,1900,0,0,ffrw_upols_vs_arm_freq_performance_16_banks,0,0,0,0,0,RaspberryPiComputeModule5,0,0,0,0,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.391079,32790.496517,,,4.035,5.403225806451613
