run_dir,Platform,Device,Algorithm,Threads,Backend,Banks,Channels,arm_freq,gpu_freq,dmc_freq_max,policy4_freq_min,cpu_freq,policy6_freq,core_freq_min,over_voltage_min,cpu_freq_max,governor,policy0_freq_min,policy0_freq,policy0_freq_max,Device,v3d_freq_min,policy6_freq_max,dmc_freq_min,Config_Name,v3d_freq,policy4_freq,Config_ID,cpu_freq_min,TestName,arm_freq_min,cpu_governor,policy4_freq_max,core_freq,over_voltage,dmc_freq,Governor,dmc_governor,gpu_freq_max,policy6_freq_min,cores_online,gpu_freq_min,emc_max_freq,gpu_governor,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2237.356196,44747.151992,,,3.323333333333333,3.622448979591837
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2241.65972,44833.223992,,,3.211666666666667,3.606122448979592
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2241.545906,44830.945584,,,3.8033333333333332,3.589795918367347
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2068.016208,41360.354957,,,3.73,3.6
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2068.011864,41360.263346,,,3.7816666666666667,3.6
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2070.647875,41412.984605,,,3.158333333333333,3.6232558139534885
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1934.584642,38691.717476,,,3.18,3.63953488372093
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1936.788425,38735.794477,,,3.761666666666667,3.6069767441860465
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1931.808827,38636.203347,,,3.7700000000000005,3.62093023255814
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min650\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1814.868433,36297.3972,,,3.2,3.656756756756757
