Backend,Algorithm,Batch Size,FIR Len,arm_freq(MHz),core_freq(MHz),v3d_freq(MHz),arm_freq (MHz),core_freq (MHz),v3d_freq (MHz),total runtime (20 iters) in ms,Average runtime,Total Operations,Total GFLOPS,Forward FFT for batch size in ms,forward Average runtime,forward Operations,forward GFLOPS,Complex Multiply for batch size in ms,cm Average runtime,cm Operations,cm GFLOPS,Inverse for batch size in ms,inverse Average runtime,inverse Operations,inverse GFLOPS,Overlap Add for batch size in ms,oa Average runtime,oa Operations,oa GFLOPS,Average Power over Execution (W),Average Power all tests,Max Power Variance (W),GFLOPS/W for entire execution,GFLOPS/W % dif from max value
clvk,OLA,32,3047,1200,500,960,1200,500,960,28158.30893,27938.22937,76646414974,2.743424215,9.768659,9.778983,36700160,3.752962859,3.394193,3.215638667,3145728,0.9782591659,9.769968,9.743672667,36700160,3.766563313,4.80818,4.810307333,524288,0.1089926202,4.306896552,4.255172414,0.331896552,0.6447269224,0
,,,,,,,,,,27840.32704,,,,9.762126,,,,3.128826,,,,9.732819,,,,4.809248,,,,4.255172414,,,,
,,,,,,,,,,27816.05215,,,,9.806164,,,,3.123897,,,,9.728231,,,,4.813494,,,,4.203448276,,,,
,,,,1200,500,900,1200,500,900,29103.80104,29087.78665,,2.63500334,10.352672,10.351909,,3.545255276,3.166594,3.183011667,,0.9882866698,10.385592,10.310658,,3.559439174,4.804499,4.806351333,,0.1090823295,4.153333333,4.136666667,,0.6369871088,-1.200479357
,,,,,,,,,,29171.95274,,,,10.424885,,,,3.180613,,,,10.334392,,,,4.811885,,,,4.206666667,,,,
,,,,,,,,,,28987.60617,,,,10.27817,,,,3.201828,,,,10.21199,,,,4.80267,,,,4.05,,,,
,,,,1200,500,850,1200,500,850,30248.01904,30161.32648,,2.54121499,10.82187,10.813887,,3.393799103,3.239329,3.256858,,0.9658781562,10.890016,10.820508,,3.391722459,4.802997,4.785496667,,0.1095576983,4.177419355,4.093548387,,0.6207853798,-3.713439254
,,,,,,,,,,30124.94311,,,,10.781089,,,,3.271936,,,,10.778574,,,,4.764697,,,,4.093548387,,,,
,,,,,,,,,,30111.0173,,,,10.838702,,,,3.259309,,,,10.792934,,,,4.788796,,,,4.009677419,,,,
,,,,1200,500,800,1200,500,800,31365.13302,31356.65433,,2.444342887,11.274497,11.26480267,,3.257949658,3.335014,3.329272667,,0.94486944,11.360062,11.35946833,,3.230799094,4.782685,4.771173333,,0.1098865967,3.975,3.958333333,,0.6175182031,-4.220192816
,,,,,,,,,,31356.92509,,,,11.275889,,,,3.327209,,,,11.361024,,,,4.776377,,,,3.965625,,,,
,,,,,,,,,,31347.90487,,,,11.244022,,,,3.325595,,,,11.357319,,,,4.754458,,,,3.934375,,,,
,,,,1200,500,750,1200,500,750,32949.63018,32899.92654,,2.329683468,12.138568,12.070054,,3.040596173,3.424642,3.433882667,,0.9160848827,12.026524,12.03389133,,3.049733372,4.76964,4.764694333,,0.1100360198,3.888235294,3.862745098,,0.6031160248,-6.454034434
,,,,,,,,,,32869.89337,,,,12.026036,,,,3.447298,,,,12.050472,,,,4.753951,,,,3.861764706,,,,
,,,,,,,,,,32880.25607,,,,12.045558,,,,3.429708,,,,12.024678,,,,4.770492,,,,3.838235294,,,,
,,,,1200,500,700,1200,500,700,34667.83876,34617.4672,,2.214096558,12.805462,12.84610967,,2.856908508,3.539865,3.538751,,0.888937368,12.921659,12.85871733,,2.854107377,4.738694,4.751999,,0.1103299895,3.832432432,3.780255255,,0.5857002792,-9.155293682
,,,,,,,,,,34560.84809,,,,12.867718,,,,3.535582,,,,12.810361,,,,4.746195,,,,3.769444444,,,,
,,,,,,,,,,34623.71474,,,,12.865149,,,,3.540806,,,,12.844132,,,,4.771108,,,,3.738888889,,,,
,,,,1200,500,650,1200,500,650,36611.22074,36542.14671,,2.097479811,13.80235,13.75574033,,2.667988717,3.672605,3.667798667,,0.8576610348,13.722058,13.72004367,,2.674930262,4.722567,4.711121333,,0.1112873057,3.805263158,3.750616406,,0.5592360252,-13.26001664
,,,,,,,,,,36464.489,,,,13.736134,,,,3.67131,,,,13.726985,,,,4.674301,,,,3.77027027,,,,
,,,,,,,,,,36550.7304,,,,13.728737,,,,3.659481,,,,13.711088,,,,4.736496,,,,3.676315789,,,,
,,,,1200,500,600,1200,500,600,38908.75975,38897.27897,,1.970482692,14.733736,14.765236,,2.485578964,3.811728,3.807959,,0.826092928,14.866011,14.846779,,2.471927413,4.706428,4.720187,,0.1110735655,3.72,3.711666667,,0.5308889157,-17.65677883
,,,,,,,,,,38859.36472,,,,14.815109,,,,3.804256,,,,14.795408,,,,4.728019,,,,3.7125,,,,
,,,,,,,,,,38923.71244,,,,14.746863,,,,3.807893,,,,14.878918,,,,4.726114,,,,3.7025,,,,
,,,,1200,500,550,1200,500,550,41592.09612,41626.57507,,1.841285641,15.931807,15.979968,,2.296635388,3.995486,3.992876333,,0.7878350686,16.047927,16.04559933,,2.287241457,4.691183,4.697927,,0.111599861,3.676744186,3.702325581,,0.4973321769,-22.86157756
,,,,,,,,,,41600.53207,,,,15.98545,,,,3.993547,,,,16.045053,,,,4.685217,,,,3.68372093,,,,
,,,,,,,,,,41687.09703,,,,16.022647,,,,3.989596,,,,16.043818,,,,4.717381,,,,3.746511628,,,,
