Backend,Algorithm,Batch Size,FIR Len,arm_freq (MHz),core_freq (MHz),v3d_freq (MHz),arm_freq (MHz),core_freq (MHz),v3d_freq (MHz),total runtime (20 iters) in ms,Average runtime,Operations,total GFLOPS,Forward FFT for batch size in ms,Average runtime,Operations,forward GFLOPS,Complex Multiply for batch size in ms,Average runtime,Operations,cm GFLOPS,Inverse for batch size in ms,Average runtime,Operations,inverse GFLOPS,Overlap Add for batch size in ms,Average runtime,Operations,oa GFLOPS,Average Power over Execution (W),Average Power all tests,Max Power Variance (W),GFLOPS/W for entire execution,GFLOPS/W % dif from max value
fftw,OLA,1,3047,2400,unset (910),unset (960),2400,910,960,9672.125383,9664.019698,76646414974,7.931111212,0.14205,0.141893,1146880,8.082710211,0.019879,0.0197145,98304,4.986380583,0.129311,0.1293935,1146880,8.863505508,0.012359,0.0123105,16384,1.330896389,5.5,5.672727273,0.495454545,1.398112553,0
,,,,,,,,,,9655.914012,,,,0.141736,,,,0.01955,,,,0.129476,,,,0.012262,,,,5.845454545,,,,
,,,,2300,unset (910),unset (960),2300,910,960,10024.41442,10050.03223,,7.626484498,0.146541,0.1472165,,7.7904311,0.020387,0.020628,,4.765561373,0.135578,0.135443,,8.467621066,0.01246,0.0126525,,1.294921952,5.645454545,5.522727273,,1.380927234,-1.229179946
,,,,,,,,,,10075.65003,,,,0.147892,,,,0.020869,,,,0.135308,,,,0.012845,,,,5.4,,,,
,,,,2200,unset (910),unset (960),2200,910,960,10525.93583,10511.63559,,7.291578398,0.154241,0.154123,,7.441329328,0.021337,0.021213,,4.634139443,0.141471,0.141221,,8.12117178,0.01341,0.0133315,,1.228968983,5.65,5.5125,,1.32273531,-5.391357289
,,,,,,,,,,10497.33535,,,,0.154005,,,,0.021089,,,,0.140971,,,,0.013253,,,,5.375,,,,
,,,,2100,unset (910),unset (960),2100,910,960,10970.9234,10974.12721,,6.984283445,0.160238,0.160398,,7.150213843,0.022568,0.0224005,,4.388473472,0.147992,0.147872,,7.755896992,0.01346,0.013504,,1.213270142,5.35,5.333333334,,1.309553146,-6.334211596
,,,,,,,,,,10977.33101,,,,0.160558,,,,0.022233,,,,0.147752,,,,0.013548,,,,5.316666667,,,,
,,,,2000,unset (910),unset (960),2000,910,960,11519.33312,11539.62901,,6.642017252,0.168785,0.1693705,,6.771427138,0.023294,0.0231685,,4.243002352,0.155523,0.1556255,,7.369486363,0.014434,0.014441,,1.134547469,5.3,5.3,,1.253210802,-10.36409771
,,,,,,,,,,11559.9249,,,,0.169956,,,,0.023043,,,,0.155728,,,,0.014448,,,,5.530769231b,,,,
,,,,1900,unset (910),unset (960),1900,910,960,12051.82551,12032.00135,,6.370213294,0.176358,0.175673,,6.52849328,0.023716,0.0239215,,4.109441298,0.163031,0.1631985,,7.027515572,0.014959,0.0148695,,1.101852786,5.230769231,5.288461539,,1.204549423,-13.84460287
,,,,,,,,,,12012.1772,,,,0.174988,,,,0.024127,,,,0.163366,,,,0.01478,,,,5.346153846,,,,
,,,,1800,unset (910),unset (960),1800,910,960,12776.87107,12723.10443,,6.024191298,0.187633,0.1860675,,6.163784648,0.024945,0.025001,,3.93200272,0.172193,0.17234,,6.654752234,0.015607,0.015484,,1.058124516,5.2,5.321428572,,1.132062794,-19.02920895
,,,,,,,,,,12669.33779,,,,0.184502,,,,0.025057,,,,0.172487,,,,0.015361,,,,5.442857143,,,,
,,,,1700,unset (910),unset (960),1700,910,960,13404.48821,13416.6328,,5.712790693,0.195398,0.1955845,,5.863859355,0.026202,0.0262625,,3.743131842,0.182367,0.182259,,6.292583631,0.016399,0.016373,,1.000671838,5.128571429,5.135714286,,1.112365364,-20.43806762
,,,,,,,,,,13428.77738,,,,0.195771,,,,0.026323,,,,0.182151,,,,0.016347,,,,5.142857143,,,,
,,,,1600,unset (910),unset (960),1600,910,960,14218.29132,14226.22297,,5.387685482,0.207034,0.2070695,,5.538623506,0.027767,0.027794,,3.536878463,0.193691,0.193725,,5.920144535,0.017183,0.017193,,0.9529459664,5.126666667,5.19,,1.038089688,-25.75063533
,,,,,,,,,,14234.15462,,,,0.207105,,,,0.027821,,,,0.193759,,,,0.017203,,,,5.253333333,,,,
