Backend,Algorithm,Batch Size,FIR Len,arm_freq (MHz),core_freq (MHz),v3d_freq (MHz),arm_freq (MHz),core_freq (MHz),v3d_freq (MHz),total runtime (20 iters) in ms,Average runtime,Operations,total GFLOPS,Forward FFT for batch size in ms,Average runtime,Operations,forward GFLOPS,Complex Multiply for batch size in ms,Average runtime,Operations,cm GFLOPS,Inverse for batch size in ms,Average runtime,Operations,inverse GFLOPS,Overlap Add for batch size in ms,Average runtime,Operations,oa GFLOPS,Average Power over Execution (W),Average runtime,Max Power Variance (W),GFLOPS/W for entire execution,GFLOPS/W % dif from max value
fftw,OLA,1,3047,2400,unset (910),unset (960),2400,910,960,23580.54491,23622.67029,76646414974,3.244612655,0.481863,0.4800295,4587520,9.556745992,0.646398,0.6665315,393216,0.5899436111,0.479116,0.4736175,4587520,9.686128574,0.245799,0.2485415,65536,0.2636823227,7.733333333,7.685416667,0.668531468,0.4221778462,-4.595044694
,,,,,,,,,,23664.79567,,,,0.478196,,,,0.686665,,,,0.468119,,,,0.251284,,,,7.6375,,,,
,,,,2300,unset (910),unset (960),2300,910,960,21249.95643,22872.573,,3.351018487,0.469664,0.484508,,9.46840919,0.460268,0.5879995,,0.6687352625,0.450456,0.4690405,,9.78064794,0.18784,0.2244355,,0.292003716,7.845454545,7.572727273,,0.4425114448,0
,,,,,,,,,,24495.18958,,,,0.499352,,,,0.715731,,,,0.487625,,,,0.261031,,,,7.3,,,,
,,,,2200,unset (910),unset (960),2200,910,960,25031.56278,24952.15541,,3.071735235,0.508265,0.514193,,8.921786178,0.703173,0.6851585,,0.5739051621,0.50349,0.5045275,,9.092705551,0.238363,0.2470335,,0.2652919543,7.45,7.380769231,,0.4161809073,-5.950250057
,,,,,,,,,,24872.74804,,,,0.520121,,,,0.667144,,,,0.505565,,,,0.255704,,,,7.311538462,,,,
,,,,2100,unset (910),unset (960),2100,910,960,25138.6573,25062.10325,,3.058259484,0.534967,0.52933,,8.666654072,0.642645,0.6479465,,0.6068649186,0.51824,0.51482,,8.910920322,0.267491,0.256397,,0.2556036147,7.176923077,7.24423077,,0.4221648346,-4.597985089
,,,,,,,,,,24985.54921,,,,0.523693,,,,0.653248,,,,0.5114,,,,0.245303,,,,7.311538462,,,,
,,,,2000,unset (910),unset (960),2000,910,960,26479.46354,26013.04202,,2.946461045,0.54701,0.5413985,,8.473462708,0.732721,0.674263,,0.5831789673,0.535648,0.538285,,8.522474154,0.258263,0.255232,,0.2567703109,6.97037037,7.050569801,,0.4179039607,-5.560869534
,,,,,,,,,,25546.6205,,,,0.535787,,,,0.615805,,,,0.540922,,,,0.252201,,,,7.130769231,,,,
,,,,1900,unset (910),unset (960),1900,910,960,27025.85984,26633.58177,,2.877811014,0.55986,0.5572385,,8.232596994,0.723578,0.678577,,0.5794714528,0.549339,0.550161,,8.338504547,0.258996,0.2536675,,0.2583539476,6.896428571,7.064880952,,0.4073403408,-7.948066535
,,,,,,,,,,26241.30371,,,,0.554617,,,,0.633576,,,,0.550983,,,,0.248339,,,,7.233333333,,,,
,,,,1800,unset (910),unset (960),1800,910,960,27230.54167,27335.36964,,2.803928243,0.582288,0.5887735,,7.791655025,0.681823,0.6727965,,0.5844501272,0.566694,0.573045,,8.005514401,0.255273,0.255177,,0.2568256543,6.828571429,6.955357143,,0.4031321736,-8.899040171
,,,,,,,,,,27440.19761,,,,0.595259,,,,0.66377,,,,0.579396,,,,0.255081,,,,7.082142857,,,,
,,,,1700,unset (910),unset (960),1700,910,960,28864.65313,28666.44172,,2.673733131,0.605566,0.6098315,,7.522602555,0.733613,0.7045935,,0.5580749751,0.600569,0.5999735,,7.646204374,0.253446,0.249895,,0.2622541467,6.676666667,6.638333334,,0.4027717495,-8.98048983
,,,,,,,,,,28468.23032,,,,0.614097,,,,0.675574,,,,0.599378,,,,0.246344,,,,6.6,,,,
,,,,1600,unset (910),unset (960),1600,910,960,29409.85846,29305.76994,,2.615403558,0.64532,0.6404935,,7.162477059,0.719926,0.6926535,,0.567695103,0.618708,0.577931,,7.937833409,0.26864,0.255655,,0.2563454656,6.573333333,6.693333333,,0.3907475436,-11.69775422
,,,,,,,,,,29201.68141,,,,0.635667,,,,0.665381,,,,0.537154,,,,0.24267,,,,6.813333333,,,,
