run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,TestName,Governor,arm_freq,arm_freq_min,core_freq,core_freq_min,v3d_freq,v3d_freq_min,gpu_freq,gpu_freq_min,over_voltage,over_voltage_min,Config_Name,Config_ID,cores_online,cpu_freq_max,cpu_freq_min,gpu_freq_max,emc_max_freq,cpu_governor,cpu_freq,governor,policy0_freq,policy0_freq_min,policy0_freq_max,policy4_freq,policy4_freq_min,policy4_freq_max,policy6_freq,policy6_freq_min,policy6_freq_max,gpu_governor,dmc_governor,dmc_freq,dmc_freq_min,dmc_freq_max,total_exec_ms,conv_avg_ms,invocations,deadlines_missed,missed_periods,average_execution_ms,maximum_execution_ms,maximum_start_lateness_ms,idle_power_w,run_power_w
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1500/run1,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1500,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1498,1498,1498,18.0183,27.9941,0.022221,2.7333333333333334,3.3181818181818183
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1500/run2,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1500,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1507,1507,1507,17.9936,18.8556,0.019589,2.72,3.2590909090909093
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1500/run3,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1500,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1584,1584,1584,18.0151,18.6705,0.019122,2.7,3.3285714285714283
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1600/run1,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1600,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1600,1600,1600,16.8958,26.0459,0.023578,3.193333333333334,3.7045454545454546
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1600/run2,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1600,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1529,1529,1529,16.9233,17.6951,0.028589,3.146666666666667,3.663636363636364
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1600/run3,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1600,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1560,1560,1560,16.881,17.5043,0.018411,3.1,3.663636363636364
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1700/run1,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1700,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3537,1,1,15.8704,25.6829,0.02415,3.1666666666666665,4.304545454545455
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1700/run2,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1700,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3430,0,0,15.8904,16.5409,0.036266,3.12,4.290909090909091
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1700/run3,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1700,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3639,0,0,15.8792,16.4702,0.021668,3.2,4.336363636363637
bench_logs/2026-07-23/ESPRIT1_60fps_RP5_CPU/arm_freq1800/run1,,Raspberry Pi Compute Module 5,ESPRIT 1,1,,,,,,,0,performance,1800,0,910,910,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3379,1,1,15.0403,24.1908,0.020122,3.1133333333333337,4.282608695652174
