timestamp,watts,volts,amps
2026-03-15T19:08:50.387741,3.9,120.6,0.372
2026-03-15T19:08:51.371627,3.9,120.5,0.371
2026-03-15T19:08:52.378465,4.0,120.6,0.369
2026-03-15T19:08:53.371342,4.0,120.7,0.371
2026-03-15T19:08:54.378616,3.9,120.6,0.371
2026-03-15T19:08:55.370935,3.9,120.6,0.37
2026-03-15T19:08:56.377022,4.0,120.5,0.371
2026-03-15T19:08:57.385556,4.0,120.6,0.371
2026-03-15T19:08:58.377695,4.0,120.7,0.37
2026-03-15T19:08:59.381331,4.0,120.6,0.37
2026-03-15T19:09:00.374890,4.0,120.6,0.371
2026-03-15T19:09:01.381912,3.9,120.6,0.371
2026-03-15T19:09:02.375042,3.9,120.6,0.372
2026-03-15T19:09:03.381224,3.9,120.6,0.371
2026-03-15T19:09:04.388350,3.9,120.6,0.37
2026-03-15T19:09:05.380200,3.8,120.6,0.371
2026-03-15T19:09:06.385169,3.8,120.6,0.371
2026-03-15T19:09:07.379465,3.8,120.6,0.372
2026-03-15T19:09:08.384058,3.8,120.6,0.371
2026-03-15T19:09:09.377696,3.9,120.6,0.371
2026-03-15T19:09:10.381434,3.9,120.6,0.372
2026-03-15T19:09:11.391430,3.9,120.6,0.372
2026-03-15T19:09:12.383204,3.9,120.6,0.372
2026-03-15T19:09:13.390031,3.9,120.6,0.372
2026-03-15T19:09:14.381517,3.9,120.6,0.373
2026-03-15T19:09:15.384079,3.9,120.6,0.373
2026-03-15T19:09:16.379343,3.9,120.5,0.372
2026-03-15T19:09:17.385767,3.9,120.6,0.372
2026-03-15T19:09:18.378751,3.9,120.6,0.371
2026-03-15T19:09:19.386258,3.9,120.7,0.373
2026-03-15T19:09:20.392049,3.9,120.6,0.373
2026-03-15T19:09:21.383375,3.9,120.5,0.373
2026-03-15T19:09:22.387767,3.9,120.6,0.372
2026-03-15T19:09:23.382639,3.9,120.5,0.373
2026-03-15T19:09:24.391359,3.9,120.6,0.373
2026-03-15T19:09:25.382826,4.0,120.6,0.371
2026-03-15T19:09:26.386620,4.0,120.6,0.372
2026-03-15T19:09:27.397841,4.0,120.6,0.372
2026-03-15T19:09:28.391383,4.0,120.6,0.372
2026-03-15T19:09:29.394045,3.9,120.6,0.374
2026-03-15T19:09:30.385276,3.9,120.6,0.372
2026-03-15T19:09:31.389433,3.9,120.6,0.372
2026-03-15T19:09:32.382674,3.9,120.5,0.371
2026-03-15T19:09:33.389930,4.0,120.6,0.37
2026-03-15T19:09:34.384601,4.0,120.5,0.372
2026-03-15T19:09:35.389835,3.9,120.5,0.372
2026-03-15T19:09:36.398951,3.9,120.6,0.371
2026-03-15T19:09:37.386112,4.0,120.5,0.372
2026-03-15T19:09:38.393678,4.0,120.5,0.37
2026-03-15T19:09:39.387136,3.9,120.5,0.37
2026-03-15T19:09:40.393781,4.0,120.6,0.37
2026-03-15T19:09:41.386358,4.0,120.5,0.369
2026-03-15T19:09:42.392586,3.9,120.6,0.37
2026-03-15T19:09:43.386030,4.0,120.5,0.369
2026-03-15T19:09:44.392632,4.0,120.5,0.369
2026-03-15T19:09:45.402333,4.0,120.5,0.369
2026-03-15T19:09:46.390793,3.9,120.6,0.37
2026-03-15T19:09:47.397386,3.9,120.6,0.369
2026-03-15T19:09:48.388613,3.9,120.6,0.369
2026-03-15T19:09:49.394788,4.0,120.6,0.37
