lane_id,lane_label,name,start_ns,end_ns,duration_ns,parent
2,FFT Execution,FFT Execution Time,242642303633,243364477595,722173962,65535
3,CPU thread0,Filter FFT,242642377688,242642614744,237056,65535
3,CPU thread0,Forward Signal FFT,242642617447,242642826855,209408,65535
3,CPU thread0,Complex Multiply,242642827133,242642855077,27944,65535
3,CPU thread0,Inverse FFT,242642855207,242643053559,198352,65535
3,CPU thread0,Overlap Add,242643053836,242643070966,17130,65535
3,CPU thread0,Forward Signal FFT,242643071170,242643276762,205592,65535
3,CPU thread0,Complex Multiply,242643276985,242643303929,26944,65535
3,CPU thread0,Inverse FFT,242643304022,242643499262,195240,65535
3,CPU thread0,Overlap Add,242643499373,242643515670,16297,65535
3,CPU thread0,Forward Signal FFT,242643515781,242643727633,211852,65535
3,CPU thread0,Complex Multiply,242643727744,242643755410,27666,65535
3,CPU thread0,Inverse FFT,242643755522,242643950022,194500,65535
3,CPU thread0,Overlap Add,242643950151,242643966910,16759,65535
3,CPU thread0,Forward Signal FFT,242643967022,242644174522,207500,65535
3,CPU thread0,Complex Multiply,242644174651,242644202429,27778,65535
3,CPU thread0,Inverse FFT,242644202540,242644396670,194130,65535
3,CPU thread0,Overlap Add,242644396781,242644413336,16555,65535
3,CPU thread0,Forward Signal FFT,242644413429,242644625114,211685,65535
3,CPU thread0,Complex Multiply,242644625744,242644653522,27778,65535
3,CPU thread0,Inverse FFT,242644653633,242644848244,194611,65535
3,CPU thread0,Overlap Add,242644848355,242644865318,16963,65535
3,CPU thread0,Forward Signal FFT,242644865429,242645075910,210481,65535
3,CPU thread0,Complex Multiply,242645076022,242645103151,27129,65535
3,CPU thread0,Inverse FFT,242645103281,242645297985,194704,65535
3,CPU thread0,Overlap Add,242645298096,242645315207,17111,65535
3,CPU thread0,Forward Signal FFT,242645315336,242645522725,207389,65535
3,CPU thread0,Complex Multiply,242645522836,242645549818,26982,65535
3,CPU thread0,Inverse FFT,242645549929,242645748670,198741,65535
3,CPU thread0,Overlap Add,242645748818,242645765429,16611,65535
3,CPU thread0,Forward Signal FFT,242645765559,242645973651,208092,65535
3,CPU thread0,Complex Multiply,242645973781,242646000836,27055,65535
3,CPU thread0,Inverse FFT,242646000929,242646195318,194389,65535
3,CPU thread0,Overlap Add,242646195429,242646212059,16630,65535
3,CPU thread0,Forward Signal FFT,242646212170,242646420559,208389,65535
3,CPU thread0,Complex Multiply,242646420688,242646447836,27148,65535
3,CPU thread0,Inverse FFT,242646447929,242646646781,198852,65535
3,CPU thread0,Overlap Add,242646646929,242646663392,16463,65535
3,CPU thread0,Forward Signal FFT,242646663485,242646873281,209796,65535
3,CPU thread0,Complex Multiply,242646873392,242646900485,27093,65535
3,CPU thread0,Inverse FFT,242646900596,242647095114,194518,65535
3,CPU thread0,Overlap Add,242647095225,242647111910,16685,65535
3,CPU thread0,Forward Signal FFT,242647112022,242647319929,207907,65535
3,CPU thread0,Complex Multiply,242647320059,242647347522,27463,65535
3,CPU thread0,Inverse FFT,242647347633,242647542003,194370,65535
3,CPU thread0,Overlap Add,242647542114,242647558836,16722,65535
3,CPU thread0,Forward Signal FFT,242647558947,242647780873,221926,65535
3,CPU thread0,Complex Multiply,242647781225,242647809096,27871,65535
3,CPU thread0,Inverse FFT,242647809188,242648004929,195741,65535
3,CPU thread0,Overlap Add,242648005059,242648022522,17463,65535
3,CPU thread0,Forward Signal FFT,242648022633,242648231614,208981,65535
3,CPU thread0,Complex Multiply,242648231744,242648258966,27222,65535
3,CPU thread0,Inverse FFT,242648259077,242648453336,194259,65535
3,CPU thread0,Overlap Add,242648453447,242648469966,16519,65535
3,CPU thread0,Forward Signal FFT,242648470096,242648681244,211148,65535
3,CPU thread0,Complex Multiply,242648681392,242648708799,27407,65535
3,CPU thread0,Inverse FFT,242648708892,242648903651,194759,65535
3,CPU thread0,Overlap Add,242648903762,242648920614,16852,65535
3,CPU thread0,Forward Signal FFT,242648920744,242649130318,209574,65535
3,CPU thread0,Complex Multiply,242649130447,242649157355,26908,65535
3,CPU thread0,Inverse FFT,242649157466,242649351466,194000,65535
3,CPU thread0,Overlap Add,242649351577,242649368373,16796,65535
3,CPU thread0,Forward Signal FFT,242649368485,242649576762,208277,65535
3,CPU thread0,Complex Multiply,242649576873,242649609466,32593,65535
3,CPU thread0,Inverse FFT,242649609596,242649804170,194574,65535
3,CPU thread0,Overlap Add,242649804281,242649821133,16852,65535
3,CPU thread0,Forward Signal FFT,242649821262,242650032614,211352,65535
3,CPU thread0,Complex Multiply,242650032725,242650060077,27352,65535
3,CPU thread0,Inverse FFT,242650060188,242650254818,194630,65535
3,CPU thread0,Overlap Add,242650254947,242650271429,16482,65535
3,CPU thread0,Forward Signal FFT,242650271540,242650480855,209315,65535
3,CPU thread0,Complex Multiply,242650480966,242650508188,27222,65535
3,CPU thread0,Inverse FFT,242650508318,242650707910,199592,65535
3,CPU thread0,Overlap Add,242650708059,242650725373,17314,65535
3,CPU thread0,Forward Signal FFT,242650725522,242650932873,207351,65535
3,CPU thread0,Complex Multiply,242650933003,242650960485,27482,65535
3,CPU thread0,Inverse FFT,242650960596,242651155114,194518,65535
3,CPU thread0,Overlap Add,242651155207,242651171799,16592,65535
3,CPU thread0,Forward Signal FFT,242651171910,242651382188,210278,65535
3,CPU thread0,Complex Multiply,242651382281,242651409503,27222,65535
3,CPU thread0,Inverse FFT,242651409596,242651608133,198537,65535
3,CPU thread0,Overlap Add,242651608355,242651624985,16630,65535
3,CPU thread0,Forward Signal FFT,242651625096,242651848873,223777,65535
3,CPU thread0,Complex Multiply,242651849151,242651877022,27871,65535
3,CPU thread0,Inverse FFT,242651877114,242652073244,196130,65535
3,CPU thread0,Overlap Add,242652073355,242652090170,16815,65535
3,CPU thread0,Forward Signal FFT,242652090688,242652300633,209945,65535
3,CPU thread0,Complex Multiply,242652300744,242652328614,27870,65535
3,CPU thread0,Inverse FFT,242652328744,242652523355,194611,65535
3,CPU thread0,Overlap Add,242652523485,242652540077,16592,65535
3,CPU thread0,Forward Signal FFT,242652540188,242652752910,212722,65535
3,CPU thread0,Complex Multiply,242652753059,242652780151,27092,65535
3,CPU thread0,Inverse FFT,242652780262,242652975188,194926,65535
3,CPU thread0,Overlap Add,242652975318,242652993040,17722,65535
3,CPU thread0,Forward Signal FFT,242652993151,242653200966,207815,65535
3,CPU thread0,Complex Multiply,242653201077,242653228429,27352,65535
3,CPU thread0,Inverse FFT,242653228522,242653423762,195240,65535
3,CPU thread0,Overlap Add,242653423873,242653440447,16574,65535
3,CPU thread0,Forward Signal FFT,242653440559,242653652670,212111,65535
3,CPU thread0,Complex Multiply,242653652836,242653680892,28056,65535
3,CPU thread0,Inverse FFT,242653681022,242653875966,194944,65535
3,CPU thread0,Overlap Add,242653876096,242653892688,16592,65535
3,CPU thread0,Forward Signal FFT,242653892799,242654099947,207148,65535
3,CPU thread0,Complex Multiply,242654100059,242654127022,26963,65535
3,CPU thread0,Inverse FFT,242654127151,242654321373,194222,65535
3,CPU thread0,Overlap Add,242654321485,242654338151,16666,65535
3,CPU thread0,Forward Signal FFT,242654338281,242654546262,207981,65535
3,CPU thread0,Complex Multiply,242654546373,242654573503,27130,65535
3,CPU thread0,Inverse FFT,242654573614,242654772910,199296,65535
3,CPU thread0,Overlap Add,242654773059,242654789559,16500,65535
3,CPU thread0,Forward Signal FFT,242654789670,242654997614,207944,65535
3,CPU thread0,Complex Multiply,242654997744,242655025133,27389,65535
3,CPU thread0,Inverse FFT,242655025225,242655219910,194685,65535
3,CPU thread0,Overlap Add,242655220022,242655236447,16425,65535
3,CPU thread0,Forward Signal FFT,242655236559,242655443633,207074,65535
3,CPU thread0,Complex Multiply,242655443725,242655470799,27074,65535
3,CPU thread0,Inverse FFT,242655470910,242655669966,199056,65535
3,CPU thread0,Overlap Add,242655670114,242655687022,16908,65535
3,CPU thread0,Forward Signal FFT,242655687114,242655895151,208037,65535
3,CPU thread0,Complex Multiply,242655895392,242655923447,28055,65535
3,CPU thread0,Inverse FFT,242655923559,242656117855,194296,65535
3,CPU thread0,Overlap Add,242656117966,242656135281,17315,65535
3,CPU thread0,Forward Signal FFT,242656135373,242656343151,207778,65535
