timestamp,watts,volts,amps
2026-03-16T16:17:34.609024,6.5,120.2,0.381
2026-03-16T16:17:35.601626,6.5,120.2,0.38
2026-03-16T16:17:36.607637,6.5,120.3,0.381
2026-03-16T16:17:37.616152,6.5,120.2,0.38
2026-03-16T16:17:38.606352,6.6,120.2,0.381
2026-03-16T16:17:39.613231,6.6,120.1,0.381
2026-03-16T16:17:40.604788,6.6,120.2,0.38
2026-03-16T16:17:41.613316,6.6,120.1,0.38
2026-03-16T16:17:42.602946,6.6,120.2,0.381
2026-03-16T16:17:43.611240,6.6,120.1,0.38
2026-03-16T16:17:44.602067,6.6,120.1,0.38
2026-03-16T16:17:45.607215,6.6,120.2,0.379
2026-03-16T16:17:46.600853,6.6,120.0,0.38
2026-03-16T16:17:47.607952,6.6,120.2,0.38
2026-03-16T16:17:48.601926,6.6,120.1,0.379
2026-03-16T16:17:49.606055,6.6,120.1,0.38
2026-03-16T16:17:50.614693,6.7,120.2,0.379
2026-03-16T16:17:51.604634,6.7,120.1,0.38
2026-03-16T16:17:52.612342,6.7,120.2,0.38
2026-03-16T16:17:53.602854,6.7,120.1,0.38
2026-03-16T16:17:54.608257,6.7,120.2,0.38
2026-03-16T16:17:55.601488,6.7,120.2,0.378
2026-03-16T16:17:56.608189,6.7,120.2,0.379
2026-03-16T16:17:57.601445,6.7,120.1,0.38
2026-03-16T16:17:58.606408,6.7,120.2,0.381
2026-03-16T16:17:59.600566,6.6,120.0,0.38
2026-03-16T16:18:00.606750,6.6,120.1,0.382
2026-03-16T16:18:01.599985,6.6,120.1,0.381
2026-03-16T16:18:02.605315,6.6,120.1,0.38
2026-03-16T16:18:03.614697,6.6,120.1,0.379
2026-03-16T16:18:04.604699,6.6,120.1,0.381
2026-03-16T16:18:05.608052,6.6,120.1,0.38
2026-03-16T16:18:06.602745,6.6,120.1,0.381
2026-03-16T16:18:07.611753,6.6,120.2,0.372
2026-03-16T16:18:08.600294,6.5,120.1,0.371
2026-03-16T16:18:09.608829,6.1,120.1,0.37
