lane_id,lane_label,name,start_ns,end_ns,duration_ns,parent
2,FFT Execution,FFT Execution Time,252544631590,253267096534,722464944,65535
3,CPU thread0,Filter FFT,252544701942,252544924349,222407,65535
3,CPU thread0,Forward Signal FFT,252544926053,252545129960,203907,65535
3,CPU thread0,Complex Multiply,252545130405,252545159034,28629,65535
3,CPU thread0,Inverse FFT,252545159182,252545358330,199148,65535
3,CPU thread0,Overlap Add,252545358534,252545376071,17537,65535
3,CPU thread0,Forward Signal FFT,252545376256,252545595256,219000,65535
3,CPU thread0,Complex Multiply,252545595423,252545623034,27611,65535
3,CPU thread0,Inverse FFT,252545623127,252545820349,197222,65535
3,CPU thread0,Overlap Add,252545820460,252545837423,16963,65535
3,CPU thread0,Forward Signal FFT,252545837534,252546045756,208222,65535
3,CPU thread0,Complex Multiply,252546045868,252546072979,27111,65535
3,CPU thread0,Inverse FFT,252546073090,252546268330,195240,65535
3,CPU thread0,Overlap Add,252546268423,252546285182,16759,65535
3,CPU thread0,Forward Signal FFT,252546285275,252546496608,211333,65535
3,CPU thread0,Complex Multiply,252546496756,252546524775,28019,65535
3,CPU thread0,Inverse FFT,252546524868,252546720497,195629,65535
3,CPU thread0,Overlap Add,252546720608,252546737386,16778,65535
3,CPU thread0,Forward Signal FFT,252546737479,252546949164,211685,65535
3,CPU thread0,Complex Multiply,252546949275,252546976516,27241,65535
3,CPU thread0,Inverse FFT,252546976627,252547171664,195037,65535
3,CPU thread0,Overlap Add,252547171775,252547188830,17055,65535
3,CPU thread0,Forward Signal FFT,252547188942,252547399830,210888,65535
3,CPU thread0,Complex Multiply,252547399942,252547427349,27407,65535
3,CPU thread0,Inverse FFT,252547427460,252547627090,199630,65535
3,CPU thread0,Overlap Add,252547627349,252547643979,16630,65535
3,CPU thread0,Forward Signal FFT,252547644090,252547852682,208592,65535
3,CPU thread0,Complex Multiply,252547852793,252547879830,27037,65535
3,CPU thread0,Inverse FFT,252547879942,252548075090,195148,65535
3,CPU thread0,Overlap Add,252548075219,252548091793,16574,65535
3,CPU thread0,Forward Signal FFT,252548091886,252548297979,206093,65535
3,CPU thread0,Complex Multiply,252548298090,252548325090,27000,65535
3,CPU thread0,Inverse FFT,252548325201,252548524460,199259,65535
3,CPU thread0,Overlap Add,252548524590,252548541201,16611,65535
3,CPU thread0,Forward Signal FFT,252548541312,252548749719,208407,65535
3,CPU thread0,Complex Multiply,252548749830,252548776868,27038,65535
3,CPU thread0,Inverse FFT,252548776979,252548972349,195370,65535
3,CPU thread0,Overlap Add,252548972479,252548988793,16314,65535
3,CPU thread0,Forward Signal FFT,252548988886,252549198479,209593,65535
3,CPU thread0,Complex Multiply,252549198590,252549226108,27518,65535
3,CPU thread0,Inverse FFT,252549226201,252549421590,195389,65535
3,CPU thread0,Overlap Add,252549421701,252549438016,16315,65535
3,CPU thread0,Forward Signal FFT,252549438108,252549651201,213093,65535
3,CPU thread0,Complex Multiply,252549651349,252549679071,27722,65535
3,CPU thread0,Inverse FFT,252549679182,252549874516,195334,65535
3,CPU thread0,Overlap Add,252549874627,252549891330,16703,65535
3,CPU thread0,Forward Signal FFT,252549891423,252550101516,210093,65535
3,CPU thread0,Complex Multiply,252550101645,252550129016,27371,65535
3,CPU thread0,Inverse FFT,252550129145,252550324460,195315,65535
3,CPU thread0,Overlap Add,252550324571,252550340719,16148,65535
3,CPU thread0,Forward Signal FFT,252550340830,252550555682,214852,65535
3,CPU thread0,Complex Multiply,252550555830,252550583256,27426,65535
3,CPU thread0,Inverse FFT,252550583349,252550778812,195463,65535
3,CPU thread0,Overlap Add,252550778923,252550796219,17296,65535
3,CPU thread0,Forward Signal FFT,252550796330,252551004553,208223,65535
3,CPU thread0,Complex Multiply,252551004738,252551032627,27889,65535
3,CPU thread0,Inverse FFT,252551032719,252551227405,194686,65535
3,CPU thread0,Overlap Add,252551227516,252551244312,16796,65535
3,CPU thread0,Forward Signal FFT,252551244405,252551457405,213000,65535
3,CPU thread0,Complex Multiply,252551457553,252551484812,27259,65535
3,CPU thread0,Inverse FFT,252551484923,252551680145,195222,65535
3,CPU thread0,Overlap Add,252551680275,252551697182,16907,65535
3,CPU thread0,Forward Signal FFT,252551697275,252551906460,209185,65535
3,CPU thread0,Complex Multiply,252551906571,252551933775,27204,65535
3,CPU thread0,Inverse FFT,252551933868,252552129460,195592,65535
3,CPU thread0,Overlap Add,252552129571,252552146868,17297,65535
3,CPU thread0,Forward Signal FFT,252552146960,252552355905,208945,65535
3,CPU thread0,Complex Multiply,252552356034,252552383182,27148,65535
3,CPU thread0,Inverse FFT,252552383293,252552582775,199482,65535
3,CPU thread0,Overlap Add,252552583034,252552599960,16926,65535
3,CPU thread0,Forward Signal FFT,252552600053,252552809145,209092,65535
3,CPU thread0,Complex Multiply,252552809256,252552836701,27445,65535
3,CPU thread0,Inverse FFT,252552836793,252553032571,195778,65535
3,CPU thread0,Overlap Add,252553032682,252553049608,16926,65535
3,CPU thread0,Forward Signal FFT,252553049719,252553258682,208963,65535
3,CPU thread0,Complex Multiply,252553258793,252553285979,27186,65535
3,CPU thread0,Inverse FFT,252553286090,252553485386,199296,65535
3,CPU thread0,Overlap Add,252553485534,252553502108,16574,65535
3,CPU thread0,Forward Signal FFT,252553502219,252553717719,215500,65535
3,CPU thread0,Complex Multiply,252553717830,252553745423,27593,65535
3,CPU thread0,Inverse FFT,252553745534,252553940830,195296,65535
3,CPU thread0,Overlap Add,252553940942,252553957719,16777,65535
3,CPU thread0,Forward Signal FFT,252553957812,252554181201,223389,65535
3,CPU thread0,Complex Multiply,252554181534,252554208701,27167,65535
3,CPU thread0,Inverse FFT,252554208793,252554404719,195926,65535
3,CPU thread0,Overlap Add,252554404905,252554421516,16611,65535
3,CPU thread0,Forward Signal FFT,252554421608,252554634942,213334,65535
3,CPU thread0,Complex Multiply,252554635090,252554662905,27815,65535
3,CPU thread0,Inverse FFT,252554663016,252554858386,195370,65535
3,CPU thread0,Overlap Add,252554858497,252554875682,17185,65535
3,CPU thread0,Forward Signal FFT,252554875775,252555081775,206000,65535
3,CPU thread0,Complex Multiply,252555081886,252555108886,27000,65535
3,CPU thread0,Inverse FFT,252555108997,252555303719,194722,65535
3,CPU thread0,Overlap Add,252555303830,252555321127,17297,65535
3,CPU thread0,Forward Signal FFT,252555321256,252555533460,212204,65535
3,CPU thread0,Complex Multiply,252555533608,252555561330,27722,65535
3,CPU thread0,Inverse FFT,252555561423,252555757238,195815,65535
3,CPU thread0,Overlap Add,252555757349,252555774793,17444,65535
3,CPU thread0,Forward Signal FFT,252555774905,252555985256,210351,65535
3,CPU thread0,Complex Multiply,252555985386,252556012516,27130,65535
3,CPU thread0,Inverse FFT,252556012608,252556207590,194982,65535
3,CPU thread0,Overlap Add,252556207682,252556224534,16852,65535
3,CPU thread0,Forward Signal FFT,252556224645,252556432164,207519,65535
3,CPU thread0,Complex Multiply,252556432312,252556464293,31981,65535
3,CPU thread0,Inverse FFT,252556464423,252556660571,196148,65535
3,CPU thread0,Overlap Add,252556660682,252556677516,16834,65535
3,CPU thread0,Forward Signal FFT,252556677627,252556884145,206518,65535
3,CPU thread0,Complex Multiply,252556884275,252556911590,27315,65535
3,CPU thread0,Inverse FFT,252556911682,252557106293,194611,65535
3,CPU thread0,Overlap Add,252557106423,252557123423,17000,65535
3,CPU thread0,Forward Signal FFT,252557123534,252557333090,209556,65535
3,CPU thread0,Complex Multiply,252557333201,252557360405,27204,65535
3,CPU thread0,Inverse FFT,252557360516,252557560719,200203,65535
3,CPU thread0,Overlap Add,252557560886,252557577312,16426,65535
3,CPU thread0,Forward Signal FFT,252557577405,252557783405,206000,65535
3,CPU thread0,Complex Multiply,252557783516,252557810775,27259,65535
3,CPU thread0,Inverse FFT,252557810886,252558006293,195407,65535
3,CPU thread0,Overlap Add,252558006405,252558023201,16796,65535
3,CPU thread0,Forward Signal FFT,252558023293,252558231497,208204,65535
3,CPU thread0,Complex Multiply,252558231608,252558258960,27352,65535
3,CPU thread0,Inverse FFT,252558259053,252558458293,199240,65535
3,CPU thread0,Overlap Add,252558458442,252558475738,17296,65535
3,CPU thread0,Forward Signal FFT,252558475830,252558683849,208019,65535
3,CPU thread0,Complex Multiply,252558683960,252558711664,27704,65535
3,CPU thread0,Inverse FFT,252558711775,252558907330,195555,65535
3,CPU thread0,Overlap Add,252558907442,252558923775,16333,65535
3,CPU thread0,Forward Signal FFT,252558923886,252559131608,207722,65535
3,CPU thread0,Complex Multiply,252559131719,252559158627,26908,65535
3,CPU thread0,Inverse FFT,252559158738,252559353923,195185,65535
3,CPU thread0,Overlap Add,252559354034,252559371201,17167,65535
3,CPU thread0,Forward Signal FFT,252559371312,252559583849,212537,65535
3,CPU thread0,Complex Multiply,252559584016,252559611275,27259,65535
3,CPU thread0,Inverse FFT,252559611386,252559807108,195722,65535
3,CPU thread0,Overlap Add,252559807238,252559823942,16704,65535
3,CPU thread0,Forward Signal FFT,252559824053,252560031108,207055,65535
3,CPU thread0,Complex Multiply,252560031330,252560058349,27019,65535
3,CPU thread0,Inverse FFT,252560058460,252560253571,195111,65535
3,CPU thread0,Overlap Add,252560253664,252560270386,16722,65535
3,CPU thread0,Forward Signal FFT,252560270497,252560482423,211926,65535
3,CPU thread0,Complex Multiply,252560482664,252560509775,27111,65535
3,CPU thread0,Inverse FFT,252560509886,252560705775,195889,65535
3,CPU thread0,Overlap Add,252560705886,252560723997,18111,65535
3,CPU thread0,Forward Signal FFT,252560724108,252560933664,209556,65535
3,CPU thread0,Complex Multiply,252560933775,252560961664,27889,65535
3,CPU thread0,Inverse FFT,252560961793,252561157108,195315,65535
3,CPU thread0,Overlap Add,252561157219,252561173719,16500,65535
3,CPU thread0,Forward Signal FFT,252561173830,252561382923,209093,65535
3,CPU thread0,Complex Multiply,252561383034,252561410016,26982,65535
3,CPU thread0,Inverse FFT,252561410108,252561610090,199982,65535
3,CPU thread0,Overlap Add,252561610238,252561626849,16611,65535
3,CPU thread0,Forward Signal FFT,252561626960,252561833905,206945,65535
3,CPU thread0,Complex Multiply,252561834016,252561861423,27407,65535
3,CPU thread0,Inverse FFT,252561861534,252562056756,195222,65535
3,CPU thread0,Overlap Add,252562056886,252562073423,16537,65535
3,CPU thread0,Forward Signal FFT,252562073516,252562282256,208740,65535
3,CPU thread0,Complex Multiply,252562282367,252562309608,27241,65535
3,CPU thread0,Inverse FFT,252562309719,252562509238,199519,65535
3,CPU thread0,Overlap Add,252562509367,252562526312,16945,65535
3,CPU thread0,Forward Signal FFT,252562526423,252562735201,208778,65535
3,CPU thread0,Complex Multiply,252562735312,252562763034,27722,65535
3,CPU thread0,Inverse FFT,252562763127,252562958405,195278,65535
3,CPU thread0,Overlap Add,252562958516,252562975645,17129,65535
3,CPU thread0,Forward Signal FFT,252562975756,252563185016,209260,65535
3,CPU thread0,Complex Multiply,252563185127,252563212608,27481,65535
3,CPU thread0,Inverse FFT,252563212719,252563408201,195482,65535
3,CPU thread0,Overlap Add,252563408312,252563425053,16741,65535
3,CPU thread0,Forward Signal FFT,252563425145,252563636664,211519,65535
3,CPU thread0,Complex Multiply,252563636812,252563674608,37796,65535
3,CPU thread0,Inverse FFT,252563674830,252563871256,196426,65535
3,CPU thread0,Overlap Add,252563871442,252563889312,17870,65535
3,CPU thread0,Forward Signal FFT,252563889423,252564096701,207278,65535
3,CPU thread0,Complex Multiply,252564096812,252564124367,27555,65535
