Algorithm,device,cpu_frequency_mhz,serial_kernel_runtime_ms,serial_run_power_w,openmp_kernel_runtime_ms,openmp_run_power_w,pocl_kernel_runtime_ms,pocl_run_power_w
BFS,CPU,1500.0,7271.672,3.611,2217.941,5.849,1727.342,5.187
BFS,CPU,1600.0,7052.585,4.043,2179.311,6.121,1724.084,5.569
BFS,CPU,1700.0,6844.517,4.083,2149.961,6.183,1716.725,5.622
BFS,CPU,1800.0,6678.96,4.132,2121.297,6.316,1711.204,5.667
BFS,CPU,1900.0,6532.705,4.17,2096.003,6.453,1711.09,5.778
BFS,CPU,2000.0,6502.915,4.176,2105.913,6.566,1706.967,5.81
BFS,CPU,2100.0,6360.729,4.276,2085.785,6.625,1701.885,5.949
BFS,CPU,2200.0,6256.46,4.311,2065.589,6.771,1696.961,5.977
BFS,CPU,2300.0,6140.817,4.309,2050.566,6.97,1692.94,6.158
BFS,CPU,2400.0,6040.38,4.32,2035.4,7.013,1692.759,6.224
FFT,CPU,1500.0,0.401,3.694,0.113,6.582,0.217,6.204
FFT,CPU,1600.0,0.376,4.154,0.106,6.875,0.204,6.416
FFT,CPU,1700.0,0.354,4.22,0.1,7.066,0.191,6.704
FFT,CPU,1800.0,0.334,4.298,0.094,7.296,0.181,6.751
FFT,CPU,1900.0,0.316,4.349,0.089,7.719,0.171,6.945
FFT,CPU,2000.0,0.301,4.45,0.086,7.946,0.164,7.015
FFT,CPU,2100.0,0.286,4.494,0.082,8.046,0.155,7.264
FFT,CPU,2200.0,0.273,4.458,0.078,8.276,0.149,7.59
FFT,CPU,2300.0,0.261,4.59,0.074,8.592,0.142,7.637
FFT,CPU,2400.0,0.25,4.673,0.072,8.688,0.136,7.845
KMeans,CPU,1500.0,5324.831,3.615,1334.49,6.851,2168.965,5.58
KMeans,CPU,1600.0,4998.602,4.018,1251.678,6.95,2042.353,5.983
KMeans,CPU,1700.0,4708.865,4.157,1179.71,7.243,1936.655,6.083
KMeans,CPU,1800.0,4449.907,4.201,1115.407,7.648,1846.198,6.317
KMeans,CPU,1900.0,4221.737,4.266,1057.96,7.886,1756.83,6.444
KMeans,CPU,2000.0,4015.904,4.305,1006.257,8.017,1683.799,6.532
KMeans,CPU,2100.0,3828.105,4.424,960.197,8.297,1615.186,6.894
KMeans,CPU,2200.0,3656.627,4.462,917.051,8.517,1555.367,6.849
KMeans,CPU,2300.0,3502.082,4.516,878.044,8.783,1498.573,6.981
KMeans,CPU,2400.0,3359.695,4.608,842.674,9.063,1450.483,7.179
SPMV,CPU,1500.0,48.903,4.541,17.455,8.227,18.207,5.881
SPMV,CPU,1600.0,46.594,4.947,17.318,8.555,17.551,6.298
SPMV,CPU,1700.0,43.51,5.028,16.932,8.627,17.043,6.326
SPMV,CPU,1800.0,40.771,5.118,16.685,8.788,16.749,6.379
SPMV,CPU,1900.0,39.036,5.203,16.45,9.006,16.423,6.536
SPMV,CPU,2000.0,38.219,5.267,16.965,9.047,16.79,6.462
SPMV,CPU,2100.0,35.963,5.376,16.671,9.173,16.484,6.607
SPMV,CPU,2200.0,34.574,5.426,16.471,9.303,16.281,6.574
SPMV,CPU,2300.0,33.515,5.538,16.075,9.617,16.07,6.638
SPMV,CPU,2400.0,32.761,5.567,15.702,9.576,15.915,6.693
SRAD,CPU,1500.0,61.93,4.259,45.548,6.548,79.638,6.531
SRAD,CPU,1600.0,58.683,4.728,44.822,6.717,75.815,6.671
SRAD,CPU,1700.0,55.758,4.792,44.524,6.812,72.964,6.814
SRAD,CPU,1800.0,53.167,4.833,44.261,6.919,70.384,6.952
SRAD,CPU,1900.0,51.217,4.871,43.998,7.06,69.421,7.107
SRAD,CPU,2000.0,49.657,4.947,43.918,7.079,67.72,7.193
SRAD,CPU,2100.0,48.471,5.034,43.932,7.19,66.732,7.26
SRAD,CPU,2200.0,47.459,5.078,44.016,7.297,66.533,7.379
SRAD,CPU,2300.0,46.555,5.072,43.834,7.376,64.28,7.743
SRAD,CPU,2400.0,46.142,5.146,43.854,7.507,64.537,7.652
