Algorithm,device,gpu_frequency_mhz,clvk_kernel_runtime_ms,clvk_run_power_w,opencl_kernel_runtime_ms,opencl_run_power_w
BFS,GPU,300.0,1301.095,3.418,1332.954,3.392
BFS,GPU,400.0,1032.325,3.626,1062.017,3.603
BFS,GPU,500.0,831.287,3.855,847.446,3.826
BFS,GPU,600.0,717.425,4.053,730.468,4.018
BFS,GPU,700.0,641.275,4.262,659.007,4.21
BFS,GPU,800.0,581.793,4.526,596.229,4.459
BFS,GPU,900.0,548.955,4.738,559.613,4.706
BFS,GPU,1000.0,519.214,4.976,538.864,4.923
FFT,GPU,300.0,0.154,3.274,0.185,3.27
FFT,GPU,400.0,0.122,3.448,0.145,3.461
FFT,GPU,500.0,0.099,3.641,0.115,3.663
FFT,GPU,600.0,0.083,3.779,0.097,3.807
FFT,GPU,700.0,0.074,3.936,0.084,3.967
FFT,GPU,800.0,0.067,4.162,0.073,4.198
FFT,GPU,900.0,0.06,4.443,0.064,4.49
FFT,GPU,1000.0,0.056,4.701,0.058,4.712
KMeans,GPU,300.0,2192.531,3.91,2008.738,3.84
KMeans,GPU,400.0,1845.578,4.159,1706.862,4.073
KMeans,GPU,500.0,1581.335,4.461,1475.455,4.364
KMeans,GPU,600.0,1425.836,4.64,1336.523,4.562
KMeans,GPU,700.0,1317.472,4.816,1240.657,4.73
KMeans,GPU,800.0,1219.871,5.024,1157.652,4.948
KMeans,GPU,900.0,1149.918,5.257,1100.469,5.227
KMeans,GPU,1000.0,1108.847,5.531,1050.729,5.492
SPMV,GPU,300.0,124.728,4.287,134.898,4.293
SPMV,GPU,400.0,108.259,4.55,118.934,4.552
SPMV,GPU,500.0,102.486,4.651,112.353,4.643
SPMV,GPU,600.0,89.869,4.785,106.448,4.731
SPMV,GPU,700.0,89.06,4.857,103.046,4.807
SPMV,GPU,800.0,84.284,4.998,99.639,4.926
SPMV,GPU,900.0,84.662,5.162,94.746,5.139
SPMV,GPU,1000.0,86.178,5.356,93.259,5.318
SRAD,GPU,300.0,46.255,3.458,48.772,3.505
SRAD,GPU,400.0,36.566,3.696,38.467,3.73
SRAD,GPU,500.0,29.295,3.968,30.718,4.019
SRAD,GPU,600.0,25.29,4.247,26.238,4.301
SRAD,GPU,700.0,22.75,4.52,23.361,4.58
SRAD,GPU,800.0,20.554,4.86,20.975,4.949
SRAD,GPU,900.0,19.081,5.27,19.245,5.392
SRAD,GPU,1000.0,18.016,5.75,18.056,5.868
