Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
1,OLA,RPi_clfft,GPU,500.0,414.38901681194824,471132.10170532,3.78859649122807,1.5653121131791576,1017.86413304627,0.016107900254228622
1,OLA,RPi_clfft,GPU,550.0,447.9252374245505,509882.9505951425,3.7942105263157893,8.32975519869363,1207.1077945535417,0.06683588864584895
1,OLA,RPi_clfft,GPU,600.0,470.6080057093902,547438.9084208464,3.876315789473684,1.8052226327362986,1084.9911230099729,0.012784166106832875
1,OLA,RPi_clfft,GPU,650.0,498.2643537415058,582052.5418121376,3.8926638176638177,2.2539795229141073,783.1229345663036,0.013788040616479508
1,OLA,RPi_clfft,GPU,700.0,519.8719544799357,612837.5786350899,3.928205128205128,2.5088757149759466,1731.4758477154505,0.01731481334988105
1,OLA,RPi_clfft,GPU,750.0,541.1421369774812,646623.2173120655,3.9820512820512817,5.195578931452909,1697.90459751248,0.03323456768414298
1,OLA,RPi_clfft,GPU,800.0,558.9051310565012,676202.451290604,4.0316239316239315,2.1997959903261806,2507.331046163792,0.013971810321966911
1,OLA,RPi_clfft,GPU,850.0,580.2688056491623,705029.878093726,4.048931623931623,4.509214580399166,890.9213509250991,0.033814735482390265
1,OLA,RPi_clfft,GPU,900.0,598.6678358844841,732649.4276322993,4.078205128205128,4.866807450279372,1649.5681655164808,0.028541122275577917
1,OLA,RPi_clfft,GPU,960.0,618.1951985678926,765367.8798157815,4.125641025641025,4.083276529266697,3051.3973440414047,0.016617283842071725
1,OLA,RPi_fftw,CPU,1600.0,1238.2160895534564,1533064.5615317002,4.125828460038986,6.4215839345051045,2087.217795179487,0.018802480711213158
1,OLA,RPi_fftw,CPU,1700.0,1292.0703593664696,1628510.961449797,4.2,6.14039050906596,2280.373261608709,0.01450952500219997
1,OLA,RPi_fftw,CPU,1800.0,1339.550875763167,1720492.0434540412,4.28,9.338738656182372,4136.165066579107,0.02051956704170306
1,OLA,RPi_fftw,CPU,1900.0,1398.0548252120436,1817978.9735133848,4.333162393162394,5.831988568646981,6360.623648753131,0.007624343632268861
1,OLA,RPi_fftw,CPU,2000.0,1454.8222016501848,1917051.352102062,4.391025641025641,5.662049929972931,3712.1790692458085,0.01132277034144604
1,OLA,RPi_fftw,CPU,2100.0,1496.4126909602853,2005187.58192902,4.4653846153846155,13.364336321689617,9172.732985629826,0.025162195744301404
1,OLA,RPi_fftw,CPU,2200.0,1555.0612468588315,2101752.102566833,4.503846153846154,13.535552598565664,11651.814625311745,0.016676525683598977
1,OLA,RPi_fftw,CPU,2300.0,1615.802929553641,2197546.3206343385,4.532051282051282,6.4108868066687785,3263.354146357951,0.020878156908535554
1,OLA,RPi_fftw,CPU,2400.0,1662.464235647918,2291011.7656862154,4.592200854700854,10.218568869221535,7367.174497093814,0.015386841007106166
1,OLA,nano_clfft,GPU,306.0,709.8318658688783,1975790.8925532429,9.275213675213676,4.1827512718048885,12257.362337817502,0.010592774963985106
1,OLA,nano_clfft,GPU,408.0,761.4511713140723,2165259.918821996,9.475641025641025,2.149247910812641,4028.1268822812544,0.02143749227290092
1,OLA,nano_clfft,GPU,510.0,795.0500991559874,2306093.589630916,9.665384615384614,3.3496553598697005,17953.181274678565,0.05236045604272311
1,OLA,nano_clfft,GPU,612.0,820.6373143431612,2401430.554857589,9.751282051282052,5.140140291698343,11583.066826732525,0.025122971720852684
1,OLA,nano_clfft,GPU,714.0,826.6185946033257,2456176.6305944696,9.901282051282053,6.767235828092597,21829.454678790466,0.01232370752892121
1,OLA,nano_clfft,GPU,816.0,838.3205775991155,2516366.009139655,10.002380952380951,5.053140712164401,14612.580541283745,0.014045601146430935
1,OLA,nano_clfft,GPU,918.0,823.6219341681839,2573639.3214895544,10.412698412698413,4.549110694604491,8760.012696470227,0.02688122302224257
1,OLA,nano_clfft,GPU,1020.0,812.0659208009433,2631358.001356669,10.79761904761905,7.088526927681062,22624.576243292846,0.005832118435197921
1,OLA,nano_cufft,GPU,306.0,1810.2287573211688,5268119.430377715,9.69736842105263,18.397563450735436,63843.58005463231,0.020721073352663145
1,OLA,nano_cufft,GPU,408.0,2049.4511677567,6148706.759270396,9.997300944669366,16.556244493651565,54785.511274212135,0.011212942679760274
1,OLA,nano_cufft,GPU,510.0,2254.4625346456396,6946956.682126258,10.267948717948718,20.15187709495073,77950.26090008659,0.02895279433496488
1,OLA,nano_cufft,GPU,612.0,2367.984574018205,7465298.687471704,10.505128205128205,22.89244913723852,87524.38826816223,0.03597062136769296
1,OLA,nano_cufft,GPU,714.0,2445.700475397172,7831766.2898084065,10.670512820512819,40.77111189395392,144295.6609311496,0.02593422114562153
1,OLA,nano_cufft,GPU,816.0,2512.0426683539854,8172567.07412093,10.841025641025643,26.13504805629836,86461.32989608108,0.021019386186583423
1,OLA,nano_cufft,GPU,918.0,2471.9586127130424,8429123.018961502,11.362820512820512,29.144758178865832,88712.68387064882,0.025004930480277344
1,OLA,nano_cufft,GPU,1020.0,2426.323763523333,8594742.885777777,11.803846153846154,13.90582709379266,49361.594107654244,0.0204967886068836
1,UPF-OS,RPi_clfft,GPU,500.0,201.59780057410083,277284.0868916661,3.9627530364372467,1.8539718123669247,1468.5208699037285,0.03590068273445791
1,UPF-OS,RPi_clfft,GPU,550.0,214.15037021960498,294427.0519317262,3.9629531388152075,5.168519998537071,1812.3847789865683,0.10537372455749815
